consultant_id,product_id,category,brand,price,date,purchase_frequency,daily_total_spent,average_purchasing_power,recency,purchase_frequency_normalized,recency_normalized,total_spent,purchase_count,unique_products,rolling_segments
47948835,210098462,MAQUILLAJE,CYZONE,21.9,25-04-2023,25,810.1,430.195,608,0.421052632,0.818181818,8933.47,357,234,Constantes 1
49754906,200100838,FRAGANCIAS,ESIKA,76.57,17-01-2023,13,333.3,430.195,706,0.210526316,0.951153324,9579.65,323,242,Constantes 2
49728603,200108807,CUIDADO PERSONAL,ESIKA,8.9,05-04-2023,24,539.65,430.195,628,0.403508772,0.84531886,12167.17,458,314,Nuevas
49588232,200095162,CUIDADO PERSONAL,ESIKA,8.82,17-01-2023,29,978.6,430.195,706,0.49122807,0.951153324,12048.73,475,327,Inconstantes
49885083,200107825,CUIDADO PERSONAL,LBEL,24.5,18-01-2023,6,116.85,430.195,705,0.087719298,0.949796472,574.55,25,21,Constantes 1
50156648,200090350,TRATAMIENTO CORPORAL,ESIKA,34.9,01-03-2023,9,251.2,430.195,663,0.140350877,0.892808684,1125.7,48,46,Constantes 3
50291766,200106440,MAQUILLAJE,ESIKA,10,27-02-2023,18,355.69,430.195,665,0.298245614,0.895522388,2607.69,100,89,Nuevas
49521464,200109538,FRAGANCIAS,LBEL,29.9,08-02-2023,10,172.1,430.195,684,0.157894737,0.921302578,1283.54,60,56,Constantes 3
10459362,210102353,BIJOUTERIE,ESIKA,39.9,09-01-2023,18,512.6,430.195,714,0.298245614,0.962008141,1324.3,46,45,Constantes 3
30803868,400095686,Others,ESIKA,3.3,28-02-2023,20,421.82,430.195,664,0.333333333,0.894165536,3890.96,156,125,Nuevas
50574822,200106441,MAQUILLAJE,ESIKA,14.64,08-05-2023,15,352.9,430.195,595,0.245614035,0.800542741,2034.35,74,71,Constantes 2
10576075,200101369,FRAGANCIAS,LBEL,83,24-04-2023,14,486.76,430.195,609,0.228070175,0.81953867,2775.23,84,83,Constantes 2
30185862,210100408,CUIDADO PERSONAL,CYZONE,23.9,11-01-2023,10,345.8,430.195,712,0.157894737,0.959294437,969.9,27,26,Constantes 1
49728603,200086399,FRAGANCIAS,LBEL,19.95,12-01-2023,21,491.2,430.195,711,0.350877193,0.957937585,12167.17,458,314,Nuevas
47383358,200105214,TRATAMIENTO FACIAL,ESIKA,29.38,03-04-2023,8,301.4,430.195,630,0.122807018,0.848032564,1639.7,46,45,Constantes 3
33905173,210103153,PROMOCION USUARIOS,CYZONE,44.9,06-06-2023,28,808.4,430.195,566,0.473684211,0.76119403,7659.24,280,220,Constantes 2
40307516,200097066,CUIDADO PERSONAL,ESIKA,32.9,08-05-2023,10,232.1,430.195,595,0.157894737,0.800542741,1827.1,74,59,Constantes 2
50935558,200082674,FRAGANCIAS,ESIKA,9.95,03-10-2023,12,271,430.195,447,0.192982456,0.59972863,2184.75,75,64,Nuevas
48212689,200112314,FRAGANCIAS,ESIKA,43.9,03-10-2023,9,240.3,430.195,447,0.140350877,0.59972863,4286.23,196,146,Constantes 3
39625989,200082678,FRAGANCIAS,ESIKA,9.95,03-10-2023,15,448.7,430.195,447,0.245614035,0.59972863,8838.3,356,233,Inconstantes
48212689,200105041,FRAGANCIAS,ESIKA,24.5,03-10-2023,9,240.3,430.195,447,0.140350877,0.59972863,4286.23,196,146,Constantes 3
48212689,200111412,CUIDADO PERSONAL,CYZONE,27.9,03-10-2023,9,240.3,430.195,447,0.140350877,0.59972863,4286.23,196,146,Constantes 3
39625989,200103025,CUIDADO PERSONAL,ESIKA,29.9,03-10-2023,15,448.7,430.195,447,0.245614035,0.59972863,8838.3,356,233,Inconstantes
49703155,200103923,MAQUILLAJE,CYZONE,14.9,07-07-2023,18,397.2,430.195,535,0.298245614,0.719131615,4127.97,136,111,Constantes 3
49703155,200103922,MAQUILLAJE,CYZONE,14.9,07-07-2023,18,397.2,430.195,535,0.298245614,0.719131615,4127.97,136,111,Constantes 3
48433154,200093883,FRAGANCIAS,ESIKA,27.58,07-07-2023,24,548.24,430.195,535,0.403508772,0.719131615,12139.58,470,285,Constantes 3
50491358,210099758,BIJOUTERIE,ESIKA,39.9,07-07-2023,12,394.9,430.195,535,0.192982456,0.719131615,2643.23,88,82,Inconstantes
48433154,200090452,FRAGANCIAS,ESIKA,40.9,07-07-2023,24,548.24,430.195,535,0.403508772,0.719131615,12139.58,470,285,Constantes 3
50496473,210102626,HOGAR,CYZONE,31.9,07-07-2023,38,670.28,430.195,535,0.649122807,0.719131615,2768.68,121,112,Constantes 3
49703155,200113794,MAQUILLAJE,CYZONE,14.9,07-07-2023,18,397.2,430.195,535,0.298245614,0.719131615,4127.97,136,111,Constantes 3
50437760,210104482,BIJOUTERIE,ESIKA,29.9,07-07-2023,13,180.89,430.195,535,0.210526316,0.719131615,1146.19,48,42,Inconstantes
50291766,200094830,MAQUILLAJE,ESIKA,15.9,07-07-2023,13,275.2,430.195,535,0.210526316,0.719131615,2607.69,100,89,Nuevas
49703155,210102033,COMPLEMENTOS,CYZONE,34.9,07-07-2023,18,397.2,430.195,535,0.298245614,0.719131615,4127.97,136,111,Constantes 3
48433154,200089988,MAQUILLAJE,CYZONE,14.5,07-07-2023,24,548.24,430.195,535,0.403508772,0.719131615,12139.58,470,285,Constantes 3
49703155,200107183,MAQUILLAJE,CYZONE,14.9,07-07-2023,18,397.2,430.195,535,0.298245614,0.719131615,4127.97,136,111,Constantes 3
50291766,200082674,FRAGANCIAS,ESIKA,12.3,07-07-2023,13,275.2,430.195,535,0.210526316,0.719131615,2607.69,100,89,Nuevas
50496473,200092462,MUESTRAS COSMETICOS,LBEL,1.5,07-07-2023,38,670.28,430.195,535,0.649122807,0.719131615,2768.68,121,112,Constantes 3
48433154,200110703,TRATAMIENTO CORPORAL,CYZONE,11.37,07-07-2023,24,548.24,430.195,535,0.403508772,0.719131615,12139.58,470,285,Constantes 3
48433154,200108674,CUIDADO PERSONAL,ESIKA,7.76,07-07-2023,24,548.24,430.195,535,0.403508772,0.719131615,12139.58,470,285,Constantes 3
50349691,200082708,MAQUILLAJE,LBEL,29.9,22-07-2023,20,438.44,430.195,520,0.333333333,0.698778833,4795.95,159,126,Constantes 2
