CODPAIS,ANIOCAMPANA,CODEBELISTA,CODVENTA,CODPRODUCTOSAP,ID_OFERTA,COD_CATALOGO,ID_MACROESTRATEGIA,ID_TIPO_SUBESTRATEGIA,DES_TIPO_SUBESTRATEGIA,DES_TIPO_ESTRATEGIA,ID_TIPO_GRUPO,ID_GRUPO,DES_TIPO_GRUPO,ID_SUB_GRUPO,NUM_PAGINA,PRECIO_OFERTA,ES_GRATIS,ES_PADRE,ES_GRUPO_PADRE,FACTOR_CUADRE,FACTOR_REPETICION,COD_TIPO_OFERTA,COD_TIPO_PROFIT,ID_SUBESTRATEGIA,CODCUC,FECHAPROCESO,COMPOSITE_PRIMARY_KEY
PE,202302,49389205,120266,200082687,3511,45,218,993,993,OTRO,2,368323,VARIABLE,368323,1,13.3,0,1,1,3,1,201,1,3059,200056743,2023-01-20,993|2|1|0|1|200056743|
PE,202305,10961556,1213,210098462,154,10,338,1,INDIVIDUAL,INDIVIDUAL,2,379309,VARIABLE,379309,28,19.9,0,1,1,1,1,300,1,147,P0197132000,2023-03-29,1|2|1|0|1|P0197132000|
PE,202313,35545956,109416,200078931,3460,45,107,993,993,OTRO,2,421604,VARIABLE,421604,1,11.65,0,1,1,6,1,422,1,2921,200063934,2023-08-21,993|2|1|0|1|200063934|
PE,202311,35545956,39805,400095676,1347,26,1531,1,INDIVIDUAL,INDIVIDUAL,1,410879,FIJO,410879,0,0,1,1,1,1,1,57,6,1081,XXXXXXXXX,2023-07-17,1|1|1|1|1|XXXXXXXXX|
PE,202302,35545956,37624,200088564,1133,24,157,5,PROMOCIÓN INDIVIDUAL,PROMOCIÓN,1,365825,FIJO,365825,19,0,1,1,1,1,1,422,1,1098,200046326,2023-01-05,5|1|1|1|1|200046326|
PE,202305,50379884,5709,210098530,1529,10,1578,1,INDIVIDUAL,INDIVIDUAL,2,379321,VARIABLE,379321,26,18.9,0,1,1,1,1,300,1,1080,P0197089001,2023-03-27,1|2|1|0|1|P0197089001|
PE,202306,50020096,42004,200102450,1831,26,543,1,INDIVIDUAL,INDIVIDUAL,1,385467,FIJO,385467,0,0,1,1,1,1,1,84,6,1345,200102450,2023-04-04,1|1|1|1|1|200102450|
PE,202305,50379884,42209,200108910,1825,13,1655,1,INDIVIDUAL,INDIVIDUAL,1,379731,FIJO,379731,68,35.9,0,1,1,1,1,322,1,1373,P0289058009,2023-03-27,1|1|1|0|1|P0289058009|
PE,202305,49389205,102037,200086172,3839,45,636,1,INDIVIDUAL,INDIVIDUAL,1,382328,FIJO,382328,1,37.9,0,1,1,1,1,423,1,2952,200086172,2023-03-29,1|1|1|0|1|200086172|
PE,202303,50020096,40697,200095911,1406,26,371,1,INDIVIDUAL,INDIVIDUAL,1,370251,FIJO,370251,0,0,1,1,1,1,1,84,6,1283,200072593,2023-01-31,1|1|1|1|1|200072593|
PE,202305,50180387,40908,400096763,1201,4,1846,991,INDIVIDUAL + ADICIONAL,INDIVIDUAL,1,378880,FIJO,378880,254,0,1,0,1,1,1,57,6,766,XXXXXXXXX,2023-03-21,991|1|1|1|0|XXXXXXXXX|
PE,202307,45871533,35497,210101278,3460,42,1590,1,INDIVIDUAL,INDIVIDUAL,1,393305,FIJO,393305,1,26.9,0,1,1,1,1,300,1,3322,XXXXXXXXX,2023-05-04,1|1|1|0|1|XXXXXXXXX|
PE,202307,50020096,4329,200108169,2713,35,734,1,INDIVIDUAL,INDIVIDUAL,1,392556,FIJO,392556,100,10.9,0,1,1,1,1,45,2,2577,200108169,2023-04-26,1|1|1|0|1|200108169|
PE,202307,49946996,4329,200108169,2713,35,734,1,INDIVIDUAL,INDIVIDUAL,1,392556,FIJO,392556,100,10.9,0,1,1,1,1,45,2,2577,200108169,2023-04-29,1|1|1|0|1|200108169|
PE,202305,49946996,9815,200102421,1253,9,825,1,INDIVIDUAL,INDIVIDUAL,1,378934,FIJO,378934,26,87,0,1,1,1,1,300,1,807,200102421,2023-03-21,1|1|1|0|1|200102421|
PE,202309,35545956,39413,400095692,1318,26,1509,1,INDIVIDUAL,INDIVIDUAL,1,401816,FIJO,401816,0,0,1,1,1,1,1,57,6,1176,XXXXXXXXX,2023-05-29,1|1|1|1|1|XXXXXXXXX|
PE,202309,50379884,39413,400095692,1318,26,1509,1,INDIVIDUAL,INDIVIDUAL,1,401816,FIJO,401816,0,0,1,1,1,1,1,57,6,1176,XXXXXXXXX,2023-06-20,1|1|1|1|1|XXXXXXXXX|
PE,202304,10961556,39676,210071133,1401,35,703,1,INDIVIDUAL,INDIVIDUAL,1,375174,FIJO,375174,100,8.9,0,1,1,1,1,45,2,1282,XXXXXXXXX,2023-03-03,1|1|1|0|1|XXXXXXXXX|
PE,202302,50073300,38703,200101110,191,4,304,1,INDIVIDUAL,INDIVIDUAL,1,364822,FIJO,364822,230,24.9,0,1,1,1,1,50,1,178,200082170,2023-01-20,1|1|1|0|1|200082170|
PE,202303,45871533,40349,400095667,1354,26,1785,1,INDIVIDUAL,INDIVIDUAL,1,370183,FIJO,370183,0,0,1,1,1,1,1,57,6,1231,XXXXXXXXX,2023-02-09,1|1|1|1|1|XXXXXXXXX|
PE,202302,49946996,38771,400097298,172,2,313,991,INDIVIDUAL + ADICIONAL,INDIVIDUAL,1,364799,FIJO,364799,106,0,1,0,1,1,1,65,1,164,XXXXXXXXX,2023-01-24,991|1|1|1|0|XXXXXXXXX|
PE,202302,10961556,38771,400097298,172,2,313,991,INDIVIDUAL + ADICIONAL,INDIVIDUAL,1,364799,FIJO,364799,106,0,1,0,1,1,1,65,1,164,XXXXXXXXX,2023-01-20,991|1|1|1|0|XXXXXXXXX|
PE,202302,49389205,38771,400097298,172,2,313,991,INDIVIDUAL + ADICIONAL,INDIVIDUAL,1,364799,FIJO,364799,106,0,1,0,1,1,1,65,1,164,XXXXXXXXX,2023-01-20,991|1|1|1|0|XXXXXXXXX|
PE,202301,10961556,40049,220044579,182,1,235,2,SET FIJO,SET,1,359996,FIJO,359996,300,0,1,0,1,1,1,89,6,168,XXXXXXXXX,2022-12-27,2|1|1|1|0|XXXXXXXXX|
PE,202314,35545956,36440,200114940,1612,24,164,999,VOLUMEN,VOLUMEN,1,423581,FIJO,423581,17,25.99,0,1,1,1,6,423,1,1376,200114940,2023-09-04,999|1|6|0|1|200114940|
PE,202302,50180387,38762,400096760,267,4,1302,991,INDIVIDUAL + ADICIONAL,INDIVIDUAL,1,364905,FIJO,364905,251,0,1,0,1,1,1,57,6,254,XXXXXXXXX,2023-01-17,991|1|1|1|0|XXXXXXXXX|
PE,202314,35545956,37800,400098616,1700,26,1610,1,INDIVIDUAL,INDIVIDUAL,1,423682,FIJO,423682,0,0,1,1,1,1,1,57,6,1427,XXXXXXXXX,2023-09-04,1|1|1|1|1|XXXXXXXXX|
PE,202304,10961556,40837,200083913,162,1,142,2,SET FIJO,SET,1,373778,FIJO,373778,6,29.9,0,1,1,1,1,425,1,129,200037781,2023-03-03,2|1|1|0|1|200037781|
PE,202305,35545956,41984,200113673,1208,4,404,999,VOLUMEN,VOLUMEN,2,378889,VARIABLE,378889,0,0,1,1,1,1,1,77,4,772,200113673,2023-03-08,999|2|1|1|1|200113673|
PE,202305,50020096,41984,200113673,1208,4,404,999,VOLUMEN,VOLUMEN,2,378889,VARIABLE,378889,0,0,1,1,1,1,1,77,4,772,200113673,2023-03-17,999|2|1|1|1|200113673|
PE,202305,43985620,41984,200113673,1208,4,404,999,VOLUMEN,VOLUMEN,2,378889,VARIABLE,378889,0,0,1,1,1,1,1,77,4,772,200113673,2023-03-14,999|2|1|1|1|200113673|
