CODEBELISTA,FECHAPROCESO,total_price
36949902,2/2/2023,19.95
36949902,2/22/2023,15.0
36949902,3/14/2023,18.9
36949902,4/26/2023,26.9
36949902,4/3/2023,29.9
36949902,5/22/2023,24.9
37789771,5/24/2023,31.0
37789771,6/8/2023,5.89
37789771,7/21/2023,29.9
37789771,7/3/2023,49.9
37789771,8/14/2023,39.9
37789771,9/12/2023,32.9
37789771,9/19/2023,24.9
38267000,1/4/2023,18.0
38304471,10/11/2024,19.9
38304471,10/30/2024,67.5
38304471,3/24/2023,14.98
38304471,3/3/2023,23.9
38304471,5/24/2023,32.9
38304471,5/5/2023,39.9
38304471,6/10/2024,46.9
38304471,6/28/2024,26.45
38304471,7/22/2024,18.9
38304471,8/13/2024,23.9
38304471,9/17/2024,44.9
38304471,9/2/2024,29.34
39061287,1/18/2024,59.9
39061287,1/25/2023,49.9
39061287,11/7/2023,66.9
39061287,12/13/2023,31.88
39061287,2/28/2024,41.9
39061287,2/8/2023,23.98
39061287,3/25/2024,8.9
39061287,4/12/2023,39.9
39061287,4/15/2024,29.9
39061287,5/24/2024,50.0
39061287,5/3/2024,22.84
39061287,5/31/2023,59.9
39061287,6/18/2024,16.97
39061287,6/20/2023,39.9
39061287,7/24/2023,94.9
39061287,7/9/2024,25.9
39061287,8/21/2023,19.9
39061287,9/13/2023,1.3
39061287,9/22/2023,30.0
39520125,4/24/2024,26.63
39520125,4/4/2024,25.0
39520125,5/16/2024,16.98
39520125,5/30/2024,24.9
39520125,6/20/2024,24.9
39520125,7/11/2024,18.96
39520125,8/1/2024,34.9
39520125,8/22/2024,25.0
39520125,9/16/2024,37.9
39523851,10/12/2023,47.9
39523851,10/28/2023,39.9
39523851,11/23/2023,22.9
39523851,6/13/2023,33.33
39523851,7/27/2023,25.9
39523851,7/6/2023,82.9
39523851,8/17/2023,26.88
39523851,9/21/2023,14.9
39523851,9/6/2023,30.9
39592525,1/17/2024,47.9
39592525,1/2/2023,23.03
39592525,1/20/2023,7.0
39592525,10/31/2023,12.9
39592525,10/9/2024,48.9
39592525,11/4/2024,12.5
39592525,12/14/2023,24.25
39592525,2/12/2024,15.9
39592525,2/9/2023,21.9
39592525,3/20/2024,7.38
39592525,3/23/2023,7.38
39592525,3/9/2023,99.0
39592525,4/18/2023,7.9
39592525,4/29/2024,37.9
39592525,5/24/2023,39.96
39592525,5/24/2024,34.9
39592525,6/12/2024,17.9
39592525,6/20/2023,14.9
39592525,7/23/2024,21.45
39592525,7/25/2023,15.9
39592525,7/3/2024,14.9
39592525,8/14/2024,24.95
39592525,9/18/2024,14.9
39592525,9/3/2024,16.9
39592525,9/7/2023,26.63
39625989,1/10/2023,7.63
39625989,1/31/2023,15.9
39625989,10/1/2024,18.34
39625989,10/21/2024,16.9
39625989,10/24/2023,1.65
39625989,10/3/2023,12.45
39625989,11/14/2023,22.9
39625989,11/3/2023,40.0
39625989,12/19/2023,54.9
39625989,12/21/2022,7.63
39625989,12/5/2023,13.9
39625989,2/20/2024,24.95
39625989,2/21/2023,102.0
39625989,3/12/2024,11.9
39625989,4/2/2024,65.0
39625989,4/23/2024,29.97
39625989,5/14/2024,54.9
39625989,5/7/2024,7.38
39625989,6/25/2024,18.9
39625989,6/4/2024,18.9
39625989,7/15/2024,7.38
39625989,7/24/2023,12.9
39625989,8/26/2024,30.0
39625989,8/27/2024,21.9
39625989,8/6/2024,13.9
39625989,8/8/2023,45.46
39625989,9/10/2024,11.65
39625989,9/13/2023,14.9
39625989,9/4/2023,24.95
39630249,1/13/2023,31.9
39630249,12/26/2022,27.92
39630249,2/6/2023,17.38
40307516,2/13/2023,24.9
40307516,3/1/2023,10.0
40307516,3/27/2023,14.5
40307516,4/18/2023,23.9
40307516,5/29/2023,25.84
40307516,5/8/2023,15.9
40307516,6/20/2023,35.9
40307516,7/10/2023,19.9
40764801,1/16/2023,62.9
40764801,1/2/2023,46.9
40764801,2/2/2023,17.47
40764801,2/22/2023,90.0
40764801,2/27/2023,58.08
40764801,3/16/2023,20.9
40764801,4/5/2023,18.16
40764801,5/4/2023,14.97
41059117,10/28/2024,19.49
41059117,10/7/2024,42.9
41059117,4/22/2024,39.9
41059117,4/25/2024,49.0
41059117,4/30/2024,24.5
41059117,5/22/2024,7.38
41059117,6/11/2024,9.9
41059117,7/2/2024,29.9
41059117,7/22/2024,17.9
41059117,8/12/2024,24.9
41059117,9/16/2024,10.0
41059117,9/3/2024,18.45
41317310,1/10/2023,29.9
41317310,1/31/2023,7.38
41317310,2/24/2023,39.9
41317310,3/15/2023,15.9
41317310,4/27/2023,7.38
41317310,4/5/2023,59.9
41317310,5/17/2023,13.9
41317310,6/30/2023,23.9
41317310,6/7/2023,63.52
41317310,7/20/2023,9.9
41317310,8/10/2023,28.3
41317310,9/1/2023,11.21
41317310,9/14/2023,7.38
42265901,1/31/2023,0.96
42265901,1/9/2023,14.95
42265901,12/17/2022,19.95
42265901,2/20/2023,9.9
42382701,1/19/2023,44.9
42382701,10/13/2023,29.9
42382701,11/27/2023,39.9
42382701,11/3/2023,8.45
42382701,11/6/2023,25.9
42382701,12/30/2022,14.0
42382701,2/23/2023,26.9
42382701,2/9/2023,1.5
42382701,3/23/2023,64.9
42382701,3/3/2023,21.9
42382701,4/17/2023,22.9
42382701,5/25/2023,24.9
42382701,5/4/2023,17.9
42382701,5/6/2023,20.9
42382701,6/19/2023,4.3
42382701,7/10/2023,11.9
42382701,7/31/2023,7.38
42382701,8/18/2023,34.9
42382701,8/19/2023,16.63
42382701,8/23/2023,24.9
42382701,9/25/2023,19.9
42382701,9/8/2023,3.44
42498750,1/23/2023,21.9
42498750,1/7/2023,5.36
42498750,2/18/2023,21.9
42567566,2/24/2023,10.0
42567566,2/3/2023,79.9
42567566,3/20/2023,85.71
42567566,4/28/2023,21.9
42567566,4/7/2023,79.9
42567566,5/29/2023,24.9
42567566,6/30/2023,15.9
42567566,6/8/2023,26.6
42670251,1/12/2024,43.9
42670251,1/17/2024,24.9
42670251,10/10/2023,39.9
42670251,10/30/2023,30.0
42670251,11/20/2023,8.9
42670251,12/26/2023,24.55
42670251,12/7/2023,43.9
42670251,2/2/2024,7.38
42670251,2/21/2023,13.9
42670251,2/26/2024,34.9
42670251,2/6/2023,14.95
42670251,3/15/2023,29.9
42670251,4/28/2023,8.9
42670251,4/7/2023,7.9
42670251,5/18/2023,24.95
42670251,5/4/2023,18.0
42670251,6/14/2023,14.95
42670251,7/1/2023,7.38
42670251,7/18/2023,24.95
42670251,8/14/2023,24.95
42670251,9/20/2023,82.9
42670251,9/4/2023,16.0
42759880,1/10/2023,5.1
42759880,1/31/2023,34.9
42759880,10/2/2023,47.0
42759880,10/23/2023,9.9
42759880,11/14/2023,22.9
42759880,12/20/2022,14.95
42759880,12/27/2022,29.9
42759880,12/8/2023,1.02
42759880,2/21/2023,19.9
42759880,3/14/2023,18.9
42759880,4/11/2023,13.3
42759880,4/25/2023,23.0
42759880,4/4/2023,13.3
42759880,5/17/2023,9.95
42759880,6/26/2023,16.63
42759880,6/5/2023,29.9
42759880,7/17/2023,14.95
42759880,8/28/2023,15.9
42759880,8/7/2023,49.9
42759880,9/12/2023,19.9
42829803,4/26/2024,40.17
42829803,4/5/2024,17.9
42829803,5/17/2024,8.67
42829803,6/28/2024,12.9
42829803,6/6/2024,22.9
42829803,7/17/2024,19.9
42829803,8/14/2024,16.9
42829803,8/29/2024,79.9
42829803,9/18/2024,25.9
42845353,10/15/2024,39.9
42845353,10/4/2024,22.53
42845353,2/22/2024,47.9
42845353,3/15/2024,7.38
42845353,4/24/2024,49.9
42845353,4/5/2024,24.23
42845353,5/14/2024,52.9
42845353,6/26/2024,24.9
42845353,6/5/2024,11.9
42845353,7/18/2024,35.9
42845353,8/30/2024,36.9
42845353,8/8/2024,24.9
42845353,9/12/2024,21.9
42858498,1/23/2023,18.9
42909386,2/17/2023,19.9
42909386,3/24/2023,5.1
42909386,3/3/2023,25.9
42909386,3/6/2023,25.9
42909386,4/14/2023,38.9
42909386,5/26/2023,11.9
42909386,5/9/2023,25.9
42909386,6/16/2023,59.9
42909386,7/10/2023,59.9
43063650,12/20/2022,39.9
43364677,10/10/2024,11.2
43364677,10/28/2024,39.9
43364677,11/18/2024,16.9
43364677,3/19/2024,19.9
43364677,4/29/2024,12.9
43364677,4/9/2024,17.9
43364677,5/20/2024,65.0
43364677,6/10/2024,11.9
43364677,7/1/2024,21.9
