CODEBELISTA,CODPRODUCTOSAP,DESCATEGORIA,DESMARCA,PRECIOOFERTA,FECHAPROCESO
49728603,210102476,BIJOUTERIE,ESIKA,39.9,1/12/2023
49588232,200083913,FRAGANCIAS,LBEL,79,1/17/2023
11976964,200112640,TRATAMIENTO FACIAL,ESIKA,31.1,1/9/2023
42759880,200103449,CUIDADO PERSONAL,CYZONE,5.1,1/10/2023
48765629,200103449,CUIDADO PERSONAL,CYZONE,5.1,1/11/2023
33090625,200094864,MAQUILLAJE,ESIKA,19.9,1/19/2023
49931050,200106360,FRAGANCIAS,CYZONE,31.23,2/9/2023
50172864,200108408,FRAGANCIAS,ESIKA,16,1/31/2023
48346014,200106562,MAQUILLAJE,CYZONE,13.9,2/14/2023
43767909,200098795,MAQUILLAJE,CYZONE,16.9,1/31/2023
49434669,200099047,FRAGANCIAS,ESIKA,19.95,1/23/2023
49470762,200103028,CUIDADO PERSONAL,ESIKA,17.9,1/30/2023
47948835,210102338,BIJOUTERIE,ESIKA,39.9,2/1/2023
49206860,210100187,PROMOCION USUARIOS,LBEL,44.66,2/1/2023
31826446,200083997,FRAGANCIAS,ESIKA,43.9,2/7/2023
45494314,200090349,CUIDADO PERSONAL,ESIKA,23.9,2/6/2023
47499070,200097067,CUIDADO PERSONAL,ESIKA,24.88,2/10/2023
49728603,210092742,MAQUILLAJE,ESIKA,29.9,2/2/2023
33905173,200105219,TRATAMIENTO FACIAL,ESIKA,26.9,1/31/2023
39630249,200083920,FRAGANCIAS,LBEL,17.38,2/6/2023
49931050,200097947,FRAGANCIAS,CYZONE,23.98,2/9/2023
44047470,210099656,COMPLEMENTOS,CYZONE,42.9,1/31/2023
49740433,200103354,MAQUILLAJE,ESIKA,25.42,1/31/2023
11976964,210100104,BIJOUTERIE,ESIKA,39.9,1/30/2023
34191115,200108789,MAQUILLAJE,ESIKA,23.9,2/13/2023
50291766,200102715,MAQUILLAJE,ESIKA,21.9,2/10/2023
33090625,200090364,TRATAMIENTO CORPORAL,ESIKA,29.9,2/13/2023
46779789,210099696,PROMOCION USUARIOS,CYZONE,0.85,2/8/2023
11692060,200085822,FRAGANCIAS,ESIKA,19.9,2/6/2023
46114531,200086399,FRAGANCIAS,LBEL,15,1/31/2023
44045680,200103026,CUIDADO PERSONAL,ESIKA,28.9,2/2/2023
47499070,200109169,MAQUILLAJE,CYZONE,15.9,2/10/2023
40764801,200105180,CUIDADO PERSONAL,CYZONE,10.9,2/2/2023
49566263,200099203,MAQUILLAJE,LBEL,58,2/1/2023
47948835,200112474,TRATAMIENTO CORPORAL,LBEL,34.95,2/1/2023
48346014,200102104,MAQUILLAJE,CYZONE,11.39,2/9/2023
48855490,210100407,CUIDADO PERSONAL,CYZONE,13.54,1/30/2023
48674135,210101981,COMPLEMENTOS,CYZONE,46.9,2/7/2023
4623541,200100052,MAQUILLAJE,ESIKA,35.9,2/6/2023
49566263,200101589,MAQUILLAJE,ESIKA,17.9,2/1/2023
33777957,200106556,MAQUILLAJE,CYZONE,17.9,2/2/2023
49814240,200113792,MAQUILLAJE,CYZONE,22.9,2/6/2023
33090625,210102382,BIJOUTERIE,ESIKA,39.9,2/13/2023
46611063,210099771,HOGAR,CYZONE,21,1/31/2023
50302369,210100298,PROMOCION USUARIOS,ESIKA,0.77,2/9/2023
50034054,210101379,BIJOUTERIE,ESIKA,59.9,2/3/2023
44196425,200105270,TRATAMIENTO FACIAL,LBEL,57,2/3/2023
49401760,200082688,CUIDADO PERSONAL,ESIKA,12.3,2/7/2023
47499070,200101074,MAQUILLAJE,CYZONE,12.63,2/10/2023
33529260,200098264,FRAGANCIAS,ESIKA,15,2/7/2023
33529260,200098799,MAQUILLAJE,CYZONE,16.9,2/7/2023
30803868,200095157,TRATAMIENTO CORPORAL,CYZONE,18.39,2/7/2023
30185862,210102311,BIJOUTERIE,ESIKA,47.9,1/31/2023
49588232,210096211,MAQUILLAJE,ESIKA,18.9,2/6/2023
49401760,200109874,FRAGANCIAS,CYZONE,24.9,2/7/2023
49621434,200102063,MAQUILLAJE,CYZONE,50.9,2/9/2023
46779789,200095170,CUIDADO PERSONAL,ESIKA,5.76,2/8/2023
49705387,210097838,COMPLEMENTOS,CYZONE,46.9,2/7/2023
48855490,200090349,CUIDADO PERSONAL,ESIKA,23.9,1/30/2023
42759880,200108161,MAQUILLAJE,CYZONE,13.9,1/31/2023
3441296,200095864,FRAGANCIAS,LBEL,99,2/7/2023
33090625,200103920,MAQUILLAJE,CYZONE,22.9,2/13/2023
39625989,210092218,CUIDADO PERSONAL,ESIKA,15.9,1/31/2023
49740433,200098800,MAQUILLAJE,CYZONE,16.9,1/31/2023
49588232,200102647,MAQUILLAJE,ESIKA,19.9,2/6/2023
49728603,210092785,HOGAR,CYZONE,21.9,2/2/2023
44413795,200107360,MAQUILLAJE,CYZONE,13.9,2/2/2023
33777957,200102433,FRAGANCIAS,ESIKA,26.3,2/2/2023
36649356,210100407,CUIDADO PERSONAL,CYZONE,30.9,2/15/2023
46779789,200098800,MAQUILLAJE,CYZONE,16.9,2/8/2023
41317310,200105125,CUIDADO PERSONAL,ESIKA,7.38,1/31/2023
44661489,210100408,CUIDADO PERSONAL,CYZONE,22.9,2/8/2023
48658954,200103022,CUIDADO PERSONAL,ESIKA,16.34,2/13/2023
11976964,200101573,MAQUILLAJE,ESIKA,17.9,1/30/2023
40307516,200109874,FRAGANCIAS,CYZONE,24.9,2/13/2023
46627121,200107337,TRATAMIENTO FACIAL,CYZONE,25.9,2/7/2023
50086135,200102370,FRAGANCIAS,ESIKA,16.44,2/1/2023
41317310,200097066,CUIDADO PERSONAL,ESIKA,27.48,1/31/2023
49728603,200109874,FRAGANCIAS,CYZONE,34.9,2/2/2023
50034054,200086432,FRAGANCIAS,ESIKA,27.3,2/3/2023
49330626,200103354,MAQUILLAJE,ESIKA,14.8,2/13/2023
33529260,200107348,MAQUILLAJE,CYZONE,13.9,2/7/2023
50147800,200084778,CUIDADO PERSONAL,CYZONE,15.9,2/8/2023
49434669,200090337,CUIDADO PERSONAL,ESIKA,23.9,1/23/2023
44661489,200097066,CUIDADO PERSONAL,ESIKA,31.9,2/8/2023
45494314,200094936,FRAGANCIAS,CYZONE,21.9,2/6/2023
44047470,200095426,CUIDADO PERSONAL,CYZONE,8.9,1/31/2023
42759880,200106346,FRAGANCIAS,ESIKA,24.49,1/31/2023
44045680,200103028,CUIDADO PERSONAL,ESIKA,17.9,2/2/2023
33090625,210101275,BIJOUTERIE,CYZONE,26.9,2/13/2023
49566263,200106290,FRAGANCIAS,ESIKA,31.24,2/1/2023
49434669,200105041,FRAGANCIAS,ESIKA,25.35,1/23/2023
47430550,200103452,CUIDADO PERSONAL,LBEL,7.38,2/9/2023
42567566,210101246,COMPLEMENTOS,CYZONE,79.9,2/3/2023
36649356,200106458,MAQUILLAJE,ESIKA,14.9,7/5/2023
36649356,210095246,CUIDADO PERSONAL,CYZONE,23.9,7/5/2023
50409260,200097066,CUIDADO PERSONAL,ESIKA,27.48,6/12/2023
47383358,200093883,FRAGANCIAS,ESIKA,17.45,6/12/2023
49588232,200106457,MAQUILLAJE,ESIKA,18.45,6/12/2023
49588232,200106611,MAQUILLAJE,CYZONE,18.9,6/12/2023
49588232,200092742,FRAGANCIAS,CYZONE,32.9,6/12/2023
49588232,210100409,CUIDADO PERSONAL,LBEL,22,6/12/2023
49588232,210101851,PROMOCION USUARIOS,CYZONE,0.95,6/12/2023
50795365,200103020,CUIDADO PERSONAL,ESIKA,17.59,6/12/2023
45680231,210102045,RELOJES,CYZONE,79.9,6/12/2023
45680231,210102044,COMPLEMENTOS,CYZONE,46.9,6/12/2023
49588232,200108408,FRAGANCIAS,ESIKA,14.98,6/12/2023
49588232,200092456,TRATAMIENTO CORPORAL,ESIKA,14.92,6/12/2023
49588232,200099704,FRAGANCIAS,ESIKA,18.85,6/12/2023
49588232,200111996,MAQUILLAJE,CYZONE,17.9,6/12/2023
50795365,200105188,CUIDADO PERSONAL,ESIKA,8.79,6/12/2023
50052273,200089507,FRAGANCIAS,ESIKA,47.9,3/2/2023
49642350,200106279,FRAGANCIAS,ESIKA,17.45,3/2/2023
49506570,210102072,PROMOCION USUARIOS,CYZONE,30,3/2/2023
48346014,200107349,MAQUILLAJE,CYZONE,13.9,3/2/2023
49931050,210102161,BIJOUTERIE,CYZONE,39.9,3/2/2023
49931050,200101580,MAQUILLAJE,ESIKA,18.9,3/2/2023
48346014,200106346,FRAGANCIAS,ESIKA,23.22,3/2/2023
47430550,200089987,MAQUILLAJE,CYZONE,14.5,3/2/2023
