CODEBELISTA,CODPRODUCTOSAP,DESCATEGORIA,DESMARCA,PRECIONORMALMN
30547748,400095728,N/A,GENERICA,0.8
43768565,200102111,MAQUILLAJE,CYZONE,38
47841925,200082674,FRAGANCIAS,ESIKA,46
50331903,400095710,N/A,LBEL,0.4
47841925,200089509,FRAGANCIAS,ESIKA,100
49661266,200106604,MAQUILLAJE,CYZONE,38
44272466,400096763,N/A,GENERICA,0.04
47841925,400095728,N/A,GENERICA,0.8
50573265,210104372,BIJOUTERIE,ESIKA,120
49021348,400097961,N/A,GENERICA,0.31
50573265,200105041,FRAGANCIAS,ESIKA,49.9
30547748,200095177,CUIDADO PERSONAL,ESIKA,18
49962444,200099202,MAQUILLAJE,LBEL,120
47841925,400095692,N/A,ESIKA,0.4
47841925,210097923,MAQUILLAJE,CYZONE,40
23475324,200109537,CUIDADO PERSONAL,ESIKA,18
43768565,200103025,CUIDADO PERSONAL,ESIKA,68
49021348,400095728,N/A,GENERICA,0.8
43768565,210103568,BIJOUTERIE,ESIKA,90
49661266,400097961,N/A,GENERICA,0.31
49962444,210104375,BIJOUTERIE,ESIKA,110
47841925,200095158,CUIDADO PERSONAL,ESIKA,18
1156543,400095692,N/A,ESIKA,0.4
49986777,200104937,CUIDADO PERSONAL,ESIKA,32
47841925,210105870,VARIOS,ESIKA,0.27
49864086,200098674,MUESTRAS COSMETICOS,ESIKA,1.2
47841925,400083364,N/A,GENERICA,0.08
23475324,210102115,MAQUILLAJE,CYZONE,50
50064719,400095693,N/A,ESIKA,0.08
49864086,210099617,COMPLEMENTOS,CYZONE,108
49940661,200103448,CUIDADO PERSONAL,ESIKA,18
47841925,200111164,MUESTRAS COSMETICOS,CYZONE,1.3
50412725,200098674,MUESTRAS COSMETICOS,ESIKA,1.2
49328311,200090346,CUIDADO PERSONAL,ESIKA,50
50412725,200107143,MAQUILLAJE,CYZONE,34
50427919,200108674,CUIDADO PERSONAL,ESIKA,18
43609947,200105188,CUIDADO PERSONAL,ESIKA,18
50427919,200089168,FRAGANCIAS,CYZONE,80
50427919,200093883,FRAGANCIAS,ESIKA,64
50412725,200108892,TRATAMIENTO FACIAL,CYZONE,42
49986777,200105130,MAQUILLAJE,LBEL,66
50064719,200109796,MUESTRAS COSMETICOS,LBEL,1.9
47841925,400098023,N/A,GENERICA,0.23
50412725,400095675,N/A,CYZONE,0.08
23475324,400095675,N/A,CYZONE,0.08
50412725,210099971,RELOJES,ESIKA,220
23475324,200105215,TRATAMIENTO FACIAL,ESIKA,70
43609947,400095729,N/A,GENERICA,0.08
50064719,200089168,FRAGANCIAS,CYZONE,80
50427919,400097983,N/A,GENERICA,0.08
50166147,400098038,N/A,GENERICA,0.16
50392856,200111164,MUESTRAS COSMETICOS,CYZONE,1.3
50331903,200109890,MAQUILLAJE,CYZONE,44
20616164,200107359,MAQUILLAJE,CYZONE,28
31617065,200108807,CUIDADO PERSONAL,ESIKA,18
50166147,200104173,MAQUILLAJE,ESIKA,50
48849202,200109537,CUIDADO PERSONAL,ESIKA,18
9527508,200103025,CUIDADO PERSONAL,ESIKA,68
43768565,210102566,COMPLEMENTOS,CYZONE,154
50392856,200105188,CUIDADO PERSONAL,ESIKA,18
20616164,200099339,MUESTRAS COSMETICOS,LBEL,1.12
31617065,200103025,CUIDADO PERSONAL,ESIKA,68
20616164,210104482,BIJOUTERIE,ESIKA,80
50166147,200105130,MAQUILLAJE,LBEL,66
50392856,200108048,FRAGANCIAS,CYZONE,52
50331903,200106443,MAQUILLAJE,ESIKA,0
9527508,200105017,FRAGANCIAS,CYZONE,60
50331903,400095693,N/A,ESIKA,0.08
9527508,400095693,N/A,ESIKA,0.08
43768565,400098071,N/A,GENERICA,0.23
20616164,210101310,BIJOUTERIE,ESIKA,110
50392856,400098062,N/A,GENERICA,0.01
9527508,400098038,N/A,GENERICA,0.16
43768565,210101247,COMPLEMENTOS,CYZONE,103
43768565,400097983,N/A,GENERICA,0.08
20616164,200098674,MUESTRAS COSMETICOS,ESIKA,1.06
50166147,200105329,FRAGANCIAS,ESIKA,88
11509169,210102565,COMPLEMENTOS,CYZONE,119
