CODEBELISTA,CODPRODUCTOSAP,DESCATEGORIA,DESMARCA,PRECIOOFERTA,FECHAPROCESO
010459362,200095374,CUIDADO PERSONAL,ESIKA,7.57000,2023-01-09
048346014,210101378,BIJOUTERIE,ESIKA,40.90000,2023-01-19
048297765,200103923,MAQUILLAJE,CYZONE,15.90000,2023-01-13
034191115,200109163,MAQUILLAJE,CYZONE,15.90000,2023-01-17
039625989,200101082,TRATAMIENTO FACIAL,ESIKA,21.90000,2023-01-10
049588232,200105041,FRAGANCIAS,ESIKA,32.80000,2023-01-17
042265901,200098788,TRATAMIENTO FACIAL,LBEL,14.95000,2023-01-09
047430550,200102089,MAQUILLAJE,CYZONE,15.90000,2023-01-12
049377649,210095249,CUIDADO PERSONAL,CYZONE,23.90000,2023-01-17
049561199,200091511,FRAGANCIAS,ESIKA,39.90000,2023-01-16
040764801,200112287,MAQUILLAJE,CYZONE,9.50000,2023-01-16
049814240,200098103,MAQUILLAJE,ESIKA,12.90000,2023-01-16
048341519,200106573,MAQUILLAJE,CYZONE,14.95000,2023-01-13
042382701,200107348,MAQUILLAJE,CYZONE,13.90000,2023-01-19
036949902,200102104,MAQUILLAJE,CYZONE,15.90000,2023-01-13
044242133,200095374,CUIDADO PERSONAL,ESIKA,7.57000,2023-01-23
011692060,200084840,TRATAMIENTO CORPORAL,ESIKA,25.90000,2023-01-16
033529260,210098467,MAQUILLAJE,CYZONE,13.90000,2023-01-17
048341519,200107369,MAQUILLAJE,CYZONE,13.90000,2023-01-13
047430550,200095465,CUIDADO PERSONAL,ESIKA,7.38000,2023-01-12
046587790,210097974,COMPLEMENTOS,CYZONE,49.90000,2023-01-13
049740433,200105041,FRAGANCIAS,ESIKA,29.90000,2023-01-11
045680231,200107364,MAQUILLAJE,CYZONE,13.90000,2023-01-17
048765629,200102116,MAQUILLAJE,CYZONE,15.90000,2023-01-11
044479885,210098496,TRATAMIENTO CORPORAL,CYZONE,18.42000,2023-01-24
045494314,200105041,FRAGANCIAS,ESIKA,30.79000,2023-01-13
050014223,200106592,MAQUILLAJE,CYZONE,9.53000,2023-01-17
044242133,200103022,CUIDADO PERSONAL,ESIKA,15.14000,2023-01-23
011976964,200090346,CUIDADO PERSONAL,ESIKA,23.90000,2023-01-09
050015882,200091455,MAQUILLAJE,LBEL,33.00000,2023-01-13
046627121,200105158,MAQUILLAJE,LBEL,31.00000,2023-01-17
049864469,210083802,VARIOS,CYZONE,12.90000,2023-01-17
049814240,210099579,HOGAR,CYZONE,44.90000,2023-01-16
049975686,200083997,FRAGANCIAS,ESIKA,42.90000,2023-01-12
046669258,200107142,MAQUILLAJE,CYZONE,9.90000,2023-01-18
011976964,200086432,FRAGANCIAS,ESIKA,32.29000,2023-01-09
045869830,200105180,CUIDADO PERSONAL,CYZONE,8.90000,2023-01-16
034191115,200103027,CUIDADO PERSONAL,ESIKA,22.90000,2023-01-17
046518039,210098496,TRATAMIENTO CORPORAL,CYZONE,17.80000,2023-01-24
048212689,200095170,CUIDADO PERSONAL,ESIKA,7.38000,2023-01-10
046114531,210100191,PROMOCION USUARIOS,ESIKA,39.90000,2023-01-09
039630249,200098345,FRAGANCIAS,ESIKA,31.90000,2023-01-13
040764801,200088133,FRAGANCIAS,ESIKA,29.90000,2023-01-16
049968221,210095652,MAQUILLAJE,CYZONE,11.90000,2023-01-20
049864310,200111299,MAQUILLAJE,LBEL,29.00000,2023-01-20
049206860,210102346,BIJOUTERIE,ESIKA,64.90000,2023-01-09
049206860,210099151,BIJOUTERIE,ESIKA,44.90000,2023-01-09
033090625,210099080,BIJOUTERIE,ESIKA,49.90000,2023-01-19
046627121,200086139,TRATAMIENTO FACIAL,LBEL,63.00000,2023-01-17
049968221,200102647,MAQUILLAJE,ESIKA,18.90000,2023-01-20
049206860,210099091,BIJOUTERIE,ESIKA,59.90000,2023-01-09
049794401,200106656,MAQUILLAJE,ESIKA,17.90000,2023-01-16
046587790,210098463,MAQUILLAJE,CYZONE,13.90000,2023-01-13
049728603,210098523,MAQUILLAJE,CYZONE,14.95000,2023-01-12
048433154,200095464,CUIDADO PERSONAL,ESIKA,8.11000,2023-01-23
039625989,210098496,TRATAMIENTO CORPORAL,CYZONE,21.90000,2023-01-10
049389949,210098724,COMPLEMENTOS,CYZONE,66.90000,2023-01-12
048765629,200108584,MAQUILLAJE,CYZONE,16.90000,2023-01-11
050051617,210099080,BIJOUTERIE,ESIKA,49.90000,2023-01-20
049728603,210102476,BIJOUTERIE,ESIKA,39.90000,2023-01-12
049588232,200083913,FRAGANCIAS,LBEL,79.00000,2023-01-17
011976964,200112640,TRATAMIENTO FACIAL,ESIKA,31.10000,2023-01-09
042759880,200103449,CUIDADO PERSONAL,CYZONE,5.10000,2023-01-10
048765629,200103449,CUIDADO PERSONAL,CYZONE,5.10000,2023-01-11
033090625,200094864,MAQUILLAJE,ESIKA,19.90000,2023-01-19
049931050,200106360,FRAGANCIAS,CYZONE,31.23000,2023-02-09
050172864,200108408,FRAGANCIAS,ESIKA,16.00000,2023-01-31
