consultant_id,product_id,category,brand,price,date,purchase_frequency,daily_total_spent,average_purchasing_power,recency,purchase_frequency_normalized,recency_normalized,total_spent,purchase_count,unique_products
52105560,200113887,MAQUILLAJE,ESIKA,19.9,2024-07-19,13,611.4,430.195,154,0.21052631578947367,0.2062415196743555,6084.48,183,149
52332435,200108408,FRAGANCIAS,ESIKA,26.05,2024-07-19,14,356.09999999999997,430.195,154,0.22807017543859648,0.2062415196743555,2880.9,104,90
33529260,200106910,FRAGANCIAS,LBEL,25.2,2024-07-19,14,375.09999999999997,430.195,154,0.22807017543859648,0.2062415196743555,20404.69,757,481
51356535,200064310,FRAGANCIAS,ESIKA,8.9,2024-07-19,20,418.35,430.195,154,0.3333333333333333,0.2062415196743555,5606.0199999999995,267,190
45869830,210098530,MAQUILLAJE,CYZONE,21.9,2024-07-19,9,219.3,430.195,154,0.14035087719298245,0.2062415196743555,7292.2,285,203
50852121,200089168,FRAGANCIAS,CYZONE,21.1,2024-07-19,18,453.72,430.195,154,0.2982456140350877,0.2062415196743555,10290.039999999999,453,277
52364329,210097030,CUIDADO PERSONAL,LBEL,11.0,2024-07-19,21,581.78,430.195,154,0.3508771929824561,0.2062415196743555,3728.87,146,118
52105560,200109472,TRATAMIENTO FACIAL,LBEL,70.4,2024-07-19,13,611.4,430.195,154,0.21052631578947367,0.2062415196743555,6084.48,183,149
51766490,200105017,FRAGANCIAS,CYZONE,18.9,2024-07-19,15,364.5,430.195,154,0.24561403508771928,0.2062415196743555,3999.2,137,123
52364329,200112291,MAQUILLAJE,CYZONE,9.9,2024-07-19,21,581.78,430.195,154,0.3508771929824561,0.2062415196743555,3728.87,146,118
51254023,200103394,MAQUILLAJE,ESIKA,12.9,2024-07-19,14,329.9,430.195,154,0.22807017543859648,0.2062415196743555,6711.7,244,202
51766490,200110665,MAQUILLAJE,LBEL,35.0,2024-07-19,15,364.5,430.195,154,0.24561403508771928,0.2062415196743555,3999.2,137,123
45869830,200084778,CUIDADO PERSONAL,CYZONE,14.9,2024-07-19,9,219.3,430.195,154,0.14035087719298245,0.2062415196743555,7292.2,285,203
35775838,200108671,FRAGANCIAS,ESIKA,57.9,2024-07-17,11,357.4,430.195,156,0.17543859649122806,0.208955223880597,2877.0,114,97
9687599,200103022,CUIDADO PERSONAL,ESIKA,10.99,2024-07-08,8,106.15,430.195,165,0.12280701754385964,0.22116689280868385,1690.79,96,72
52502403,200108674,CUIDADO PERSONAL,ESIKA,7.38,2024-07-22,12,272.2,430.195,151,0.19298245614035087,0.2021709633649932,1683.1999999999998,66,56
52208297,200108048,FRAGANCIAS,CYZONE,19.95,2024-07-22,16,376.7,430.195,151,0.2631578947368421,0.2021709633649932,3490.71,148,124
52324548,200115632,MAQUILLAJE,CYZONE,9.9,2024-07-22,14,354.9,430.195,151,0.22807017543859648,0.2021709633649932,2070.95,85,67
38304471,200113781,FRAGANCIAS,CYZONE,18.9,2024-07-22,17,399.86,430.195,151,0.2807017543859649,0.2021709633649932,3390.72,107,99
38304471,200116782,MAQUILLAJE,CYZONE,16.9,2024-07-22,17,399.86,430.195,151,0.2807017543859649,0.2021709633649932,3390.72,107,99
41059117,210096267,MAQUILLAJE,ESIKA,17.9,2024-07-22,15,522.8,430.195,151,0.24561403508771928,0.2021709633649932,4721.0199999999995,158,133
41059117,200099047,FRAGANCIAS,ESIKA,57.9,2024-07-22,15,522.8,430.195,151,0.24561403508771928,0.2021709633649932,4721.0199999999995,158,133
41059117,200116779,MAQUILLAJE,CYZONE,16.9,2024-07-22,15,522.8,430.195,151,0.24561403508771928,0.2021709633649932,4721.0199999999995,158,133
