CODPRODUCTOSAP,DESSUBTIPO
210109775,MAQUILLAJE/PARA ROSTRO/POLVOS/COMPACTO/SINGLE
210109771,MAQUILLAJE/PARA ROSTRO/POLVOS/COMPACTO/SINGLE
210109748,MAQUILLAJE/PARA ROSTRO/POLVOS/COMPACTO/SINGLE
210109747,MAQUILLAJE/PARA ROSTRO/POLVOS/COMPACTO/SINGLE
220047230,N/A
220047229,N/A
200120186,TRATAMIENTO FACIAL/PARA ROSTRO/ANTI ACNE/P-MUJER-C GRAS-MIX NOR A GRAS
220047227,N/A
220047220,N/A
220047219,N/A
220047218,N/A
220047216,N/A
220047217,N/A
200120183,TRATAMIENTO FACIAL/PARA ROSTRO/LIMPIADORA-DEMAQUILLADORA/P-MUJER-C GRAS-MIX NOR A GRAS
200120182,TRATAMIENTO FACIAL/PARA ROSTRO/LIMPIADORA-DEMAQUILLADORA/P-MUJER-C GRAS-MIX NOR A GRAS
220047214,N/A
220047215,N/A
200013389,JOVENES/ARETES/MODERNO/C
200013390,JOVENES/COLLARES/MODERNO/C
200013391,JOVENES/ARETES/MODERNO/C
200013408,TRATAMIENTO FACIAL/PARA ROSTRO/MATIFICANTE/P-MUJER CUTIS GRASO ACNE MIXTA
200013410,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/HUMECTANTES/SACHET
200013418,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/LIMPIADORAS DEMAQUILLADORE/SACHET
200013419,TRATAMIENTO FACIAL/PARA ROSTRO/LIMPIADORAS DEMAQUILLADORE/P-MUJER CUTIS GRASO ACNE
200013420,TRATAMIENTO FACIAL/PARA ROSTRO/LIMPIADORAS DEMAQUILLADORE/P-MUJER CUTIS GRASO ACNE
200013422,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/LIMPIADORAS DEMAQUILLADORE/TRIAL SIZE
200013423,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/HUMECTANTES/TRIAL SIZE
200013424,TRATAMIENTO FACIAL/PARA ROSTRO/HUMECTANTES/P-MUJER CUTIS GRASO ACNE MIXTA
200013425,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/HUMECTANTES/SACHET
200013426,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/HUMECTANTES/SACHET
200013428,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/HUMECTANTES/TRIAL SIZE
200013429,TRATAMIENTO FACIAL/PARA ROSTRO/HUMECTANTES/P-MUJER CUTIS GRASO ACNE MIXTA
200013430,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/HUMECTANTES/SACHET
200013432,TRATAMIENTO FACIAL/PARA ROSTRO/MATIFICANTE/P-MUJER TODOTIPODECUTIS-NORMAL
200013434,TRATAMIENTO FACIAL/PARA ROSTRO/TONICAS/P-MUJER CUTIS GRASO ACNE MIXTA
200013435,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/TONICAS/SACHET
200013436,TRATAMIENTO FACIAL/PARA ROSTRO/TONICAS/P-MUJER CUTIS GRASO ACNE MIXTA
200013437,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/TONICAS/TRIAL SIZE
200013438,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/MASCARILLA FACIAL/VARIOS
200013440,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/MASCARILLA FACIAL/VARIOS
200013441,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/ESTUCHES/VARIOS
200013443,TRATAMIENTO FACIAL/MIXTO/ESTUCHES/P MUJER-VARIOS
200013445,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/VARIOS/VARIOS
200013447,TRATAMIENTO FACIAL/PARA ROSTRO/TONICAS/P-MUJER CUTIS GRASO ACNE MIXTA
200013449,TRATAMIENTO FACIAL/PARA ROSTRO/LIMPIADORAS DEMAQUILLADORE/P-MUJER CUTIS GRASO ACNE
200013450,TRATAMIENTO FACIAL/PARA ROSTRO/LIMPIADORAS DEMAQUILLADORE/P-MUJER CUTIS GRASO ACNE
200013451,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/LIMPIADORAS DEMAQUILLADORE/TRIAL SIZE
200013452,TRATAMIENTO FACIAL/PARA ROSTRO/HUMECTANTES/P-MUJER CUTIS GRASO ACNE MIXTA
200013454,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/HUMECTANTES/SACHET
200013455,TRATAMIENTO FACIAL/PARA ROSTRO/HUMECTANTES/P-MUJER CUTIS GRASO ACNE MIXTA
200013458,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/HUMECTANTES/TRIAL SIZE
200013459,TRATAMIENTO FACIAL/PARA ROSTRO/HUMECTANTES/P-MUJER CUTIS GRASO ACNE MIXTA
200013460,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/HUMECTANTES/TRIAL SIZE
200013467,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/TONICAS/TRIAL SIZE
200013470,TRATAMIENTO FACIAL/PARA ROSTRO/HUMECTANTES/P-MUJER CUTIS GRASO ACNE MIXTA
200013472,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/HUMECTANTES/SACHET
200013475,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/HUMECTANTES/SACHET
200013478,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/TONICAS/TRIAL SIZE
200013479,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/MASCARILLA FACIAL/VARIOS
200013480,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/HUMECTANTES/SACHET
200013481,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/HUMECTANTES/SACHET
200013483,TRATAMIENTO FACIAL/MIXTO/ESTUCHES/VARIOS
200013486,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/HUMECTANTES/SACHET
200013487,TRATAMIENTO FACIAL/PARA ROSTRO/HUMECTANTES/P-MUJER CUTIS GRASO ACNE MIXTA
200013494,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/HUMECTANTES/SACHET
200013509,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/HUMECTANTES/TRIAL SIZE
200013511,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/HUMECTANTES/TRIAL SIZE
200013512,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/HUMECTANTES/TRIAL SIZE
200013513,TRATAMIENTO FACIAL/PARA ROSTRO/HUMECTANTES/P-MUJER CUTIS GRASO ACNE MIXTA
200013514,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/MATIFICANTE/TRIAL SIZE
200013516,MUESTRAS COSMETICOS/TRATAMIENTO FACIAL/MATIFICANTE/TRIAL SIZE
200013521,TRATAMIENTO FACIAL/PARA ROSTRO/TONICAS/P-MUJER CUTIS SECO-NORMAL SECO
200013532,JOVENES/DEPORTIVO/CANGURO/PLASTIFICADOS
200013533,CABALLEROS/DEPORTIVO/MALETIN/PLASTIFICADOS
200013534,INFANTAS/DE VESTIR/VESTIDO S&M/SIN SUBTIPO ESPECIAL
200013535,INFANTAS/DE VESTIR/VESTIDO S&M/SIN SUBTIPO ESPECIAL
200013536,INFANTAS/DE VESTIR/VESTIDO S&M/SIN SUBTIPO ESPECIAL
200013550,FRAGANCIAS/DAMAS/COLONIA Y O EAU DE TOILETE/CON SPRAY
200013554,FRAGANCIAS/DAMAS/COLONIA Y O EAU DE TOILETE/CON SPRAY
200013555,FRAGANCIAS/DAMAS/COLONIA Y O EAU DE TOILETE/CON SPRAY
200013556,FRAGANCIAS/DAMAS/COLONIA Y O EAU DE TOILETE/CON SPRAY
200013559,FRAGANCIAS/DAMAS/COLONIA Y O EAU DE TOILETE/DECORATIVO
200013562,FRAGANCIAS/DAMAS/COLONIA Y O EAU DE TOILETE/CON SPRAY
200013563,FRAGANCIAS/DAMAS/COLONIA Y O EAU DE TOILETE/CON SPRAY
200013564,FRAGANCIAS/DAMAS/COLONIA Y O EAU DE TOILETE/CON SPRAY
200013565,MUESTRAS COSMETICOS/FRAGANCIAS/COLONIA Y O EAU DE TOILETE/MINI
200013566,MUESTRAS COSMETICOS/FRAGANCIAS/COLONIA Y O EAU DE TOILETE/PROBADOR
200013572,FRAGANCIAS/FAMILIAR BAÑO/COLONIA DE BAÑO/SIN SPRAY
200013579,FRAGANCIAS/DAMAS/COLONIA Y O EAU DE TOILETE/ROLLETTE
200013580,FRAGANCIAS/DAMAS/COLONIA Y O EAU DE TOILETE/ROLLETTE
200013582,FRAGANCIAS/DAMAS/COLONIA Y O EAU DE TOILETE/SIN SPRAY
200013586,FRAGANCIAS/DAMAS/COLONIA Y O EAU DE TOILETE/SIN SPRAY
200013588,FRAGANCIAS/DAMAS/COLONIA Y O EAU DE TOILETE/SIN SPRAY
200013592,FRAGANCIAS/DAMAS/COLONIA Y O EAU DE TOILETE/SIN SPRAY
200013597,TRATAMIENTO CORPORAL/CUERPO/HUMECTANTES-NUTRITIVAS/CREMAS SUAVIZANTES
